DATE,SummaryValue
2015-01-01,25.0
2015-01-02,32.0
2015-01-03,27.0
2015-01-04,39.0
2015-01-05,27.0
2015-01-06,13.0
2015-01-07,9.0
2015-01-08,7.0
2015-01-09,20.0
2015-01-10,12.0
2015-01-11,18.0
2015-01-12,32.0
2015-01-13,15.0
2015-01-14,5.0
2015-01-15,15.0
2015-01-16,21.0
2015-01-17,11.0
2015-01-18,32.0
2015-01-19,34.0
2015-01-20,24.0
2015-01-21,16.0
2015-01-22,25.0
2015-01-23,25.0
2015-01-24,28.0
2015-01-25,25.0
2015-01-26,14.0
2015-01-27,14.0
2015-01-28,13.0
2015-01-29,13.0
2015-01-30,19.0
2015-01-31,7.0
2015-03-01,14.0
2015-03-02,26.0
2015-03-03,19.0
2015-03-04,35.0
2015-03-05,22.0
2015-03-06,14.0
2015-03-07,22.0
2015-03-08,30.0
2015-03-09,31.0
2015-03-10,35.0
2015-03-11,43.0
2015-03-12,33.0
2015-03-13,31.0
2015-03-14,38.0
2015-03-15,36.0
2015-03-16,35.0
2015-03-17,37.0
2015-03-18,25.0
2015-03-19,26.0
2015-03-20,28.0
2015-03-21,35.0
2015-03-22,25.0
2015-03-23,21.0
2015-03-24,26.0
2015-03-25,33.0
2015-03-26,40.0
2015-03-27,39.0
2015-03-28,27.0
2015-03-29,27.0
2015-03-30,39.0
2015-03-31,38.0
2015-04-01,36.0
2015-04-02,46.0
2015-04-03,56.0
2015-04-04,39.0
2015-04-05,34.0
2015-04-06,48.0
2015-04-07,43.0
2015-04-08,37.0
2015-04-09,38.0
2015-04-10,45.0
2015-04-11,41.0
2015-04-12,49.0
2015-04-13,55.0
2015-04-14,57.0
2015-04-15,52.0
2015-04-16,50.0
2015-04-17,57.0
2015-04-18,58.0
2015-04-19,51.0
2015-04-20,49.0
2015-04-21,53.0
2015-04-22,49.0
2015-04-23,41.0
2015-04-24,39.0
2015-04-25,44.0
2015-04-26,50.0
2015-04-27,52.0
2015-04-28,54.0
2015-04-29,60.0
2015-04-30,56.0
2015-05-01,56.0
2015-05-02,59.0
2015-05-03,64.0
2015-05-04,72.0
2015-05-05,69.0
2015-05-06,66.0
2015-05-07,66.0
2015-05-08,74.0
2015-05-09,71.0
2015-05-10,75.0
2015-05-11,76.0
2015-05-12,70.0
2015-05-13,56.0
2015-05-14,54.0
2015-05-15,58.0
2015-05-16,65.0
2015-05-17,72.0
2015-05-18,66.0
2015-05-19,66.0
2015-05-20,51.0
2015-05-21,54.0
2015-05-22,57.0
2015-05-23,52.0
2015-05-24,63.0
2015-05-25,75.0
2015-05-26,79.0
2015-05-27,78.0
2015-05-28,73.0
2015-05-29,68.0
2015-05-30,77.0
2015-05-31,60.0
2015-06-01,53.0
2015-06-02,56.0
2015-06-03,60.0
2015-06-04,59.0
2015-06-05,67.0
2015-06-06,60.0
2015-06-07,59.0
2015-06-08,68.0
2015-06-09,69.0
2015-06-10,68.0
2015-06-11,73.0
2015-06-12,73.0
2015-06-13,73.0
2015-06-14,72.0
2015-06-15,69.0
2015-06-16,72.0
2015-06-17,68.0
2015-06-18,68.0
2015-06-19,68.0
2015-06-20,64.0
2015-06-21,76.0
2015-06-22,75.0
2015-06-23,78.0
2015-06-24,70.0
2015-06-25,69.0
2015-06-26,69.0
2015-06-27,64.0
2015-06-28,60.0
2015-06-29,66.0
2015-06-30,64.0
2015-07-01,73.0
2015-07-02,67.0
2015-07-03,65.0
2015-07-04,64.0
2015-07-05,70.0
2015-07-06,71.0
2015-07-07,78.0
2015-07-08,73.0
2015-07-09,69.0
2015-07-10,74.0
2015-07-11,72.0
2015-07-12,76.0
2015-07-13,76.0
2015-07-14,75.0
2015-07-15,67.0
2015-07-16,66.0
2015-07-17,67.0
2015-07-18,79.0
2015-07-19,81.0
2015-07-20,78.0
2015-07-21,75.0
2015-07-22,72.0
2015-07-23,69.0
2015-07-24,69.0
2015-07-25,71.0
2015-07-26,76.0
2015-07-27,79.0
2015-07-28,81.0
2015-07-29,81.0
2015-07-30,79.0
2015-07-31,76.0
2015-08-01,74.0
2015-08-02,72.0
2015-08-03,78.0
2015-08-04,74.0
2015-08-05,69.0
2015-08-06,69.0
2015-08-07,68.0
2015-08-08,71.0
2015-08-09,74.0
2015-08-10,75.0
2015-08-11,73.0
2015-08-12,73.0
2015-08-13,70.0
2015-08-14,73.0
2015-08-15,76.0
2015-08-16,76.0
2015-08-18,81.0
2015-08-19,80.0
2015-08-20,82.0
2015-08-21,73.0
2015-08-22,70.0
2015-08-23,73.0
2015-08-24,77.0
2015-08-25,75.0
2015-08-26,69.0
2015-08-27,68.0
2015-08-28,67.0
2015-08-29,67.0
2015-08-30,72.0
2015-08-31,76.0
2015-09-01,75.0
2015-09-02,76.0
2015-09-03,77.0
2015-09-04,75.0
2015-09-05,73.0
2015-09-06,73.0
2015-09-07,79.0
2015-09-08,82.0
2015-09-09,82.0
2015-09-10,68.0
2015-09-11,72.0
2015-09-12,67.0
2015-09-13,69.0
2015-09-14,63.0
2015-09-15,67.0
2015-09-16,69.0
2015-09-17,71.0
2015-09-18,71.0
2015-09-19,73.0
2015-09-20,62.0
2015-09-21,57.0
2015-09-22,60.0
2015-09-23,61.0
2015-09-24,64.0
2015-09-25,62.0
2015-09-26,60.0
2015-09-27,58.0
2015-09-28,65.0
2015-09-29,74.0
2015-09-30,60.0
2015-10-01,53.0
2015-10-02,50.0
2015-10-03,52.0
2015-10-04,54.0
2015-10-05,51.0
2015-10-06,60.0
2015-10-07,61.0
2015-10-08,56.0
2015-10-09,55.0
2015-10-10,51.0
2015-10-11,53.0
2015-10-12,60.0
2015-10-13,59.0
2015-10-14,52.0
2015-10-15,51.0
2015-10-16,51.0
2015-10-17,41.0
2015-10-18,37.0
2015-10-19,36.0
2015-10-20,55.0
2015-10-21,53.0
2015-10-22,55.0
2015-10-23,42.0
2015-10-24,40.0
2015-10-25,49.0
2015-10-26,44.0
2015-10-27,43.0
2015-10-28,47.0
2015-10-29,54.0
2015-10-30,46.0
2015-10-31,40.0
2015-11-01,52.0
2015-11-02,51.0
2015-11-03,54.0
2015-11-04,55.0
2015-11-05,59.0
2015-11-06,65.0
2015-11-07,52.0
2015-11-08,44.0
2015-11-09,43.0
2015-11-10,48.0
2015-11-11,48.0
2015-11-12,52.0
2015-11-13,50.0
2015-11-14,40.0
2015-11-15,45.0
2015-11-16,47.0
2015-11-17,37.0
2015-11-18,39.0
2015-11-19,57.0
2015-11-20,46.0
2015-11-21,38.0
2015-11-22,43.0
2015-11-23,31.0
2015-11-24,32.0
2015-11-25,36.0
2015-11-26,42.0
2015-11-27,56.0
2015-11-28,47.0
2015-11-29,35.0
2015-11-30,31.0
2015-12-01,34.0
2015-12-02,46.0
2015-12-03,44.0
2015-12-04,40.0
2015-12-05,37.0
2015-12-06,31.0
2015-12-07,37.0
2015-12-08,35.0
2015-12-09,36.0
2015-12-10,50.0
2015-12-11,49.0
2015-12-12,46.0
2015-12-13,48.0
2015-12-14,53.0
2015-12-15,52.0
2015-12-16,41.0
2015-12-17,48.0
2015-12-18,44.0
2015-12-19,35.0
2015-12-20,32.0
2015-12-21,41.0
2015-12-22,50.0
2015-12-23,49.0
2015-12-24,58.0
2015-12-25,47.0
2015-12-26,42.0
2015-12-27,43.0
2015-12-28,29.0
2015-12-29,30.0
2015-12-30,38.0
2015-12-31,40.0
2016-01-01,34.0
2016-01-02,32.0
2016-01-03,34.0
2016-01-04,19.0
2016-01-05,11.0
2016-01-06,20.0
2016-01-07,26.0
2016-01-08,27.0
2016-01-09,42.0
2016-01-10,46.0
2016-01-11,27.0
2016-01-12,25.0
2016-01-13,19.0
2016-01-14,22.0
2016-01-15,33.0
2016-01-16,35.0
2016-01-17,31.0
2016-01-18,22.0
2016-01-19,18.0
2016-01-20,23.0
2016-01-21,24.0
2016-01-22,21.0
2016-01-23,20.0
2016-01-24,19.0
2016-01-25,28.0
2016-01-26,39.0
2016-01-27,32.0
2016-01-28,29.0
2016-01-29,32.0
2016-01-30,33.0
2016-01-31,44.0
2016-02-01,45.0
2016-02-02,38.0
2016-02-03,44.0
2016-02-04,47.0
2016-02-05,33.0
2016-02-06,31.0
2016-02-07,35.0
2016-02-08,31.0
2016-02-09,28.0
2016-02-10,30.0
2016-02-11,18.0
2016-02-12,14.0
2016-02-13,6.0
2016-02-14,-3.0
2016-02-15,8.0
2016-02-16,37.0
2016-02-17,33.0
2016-02-18,23.0
2016-02-19,24.0
2016-02-20,49.0
2016-02-21,40.0
2016-02-22,31.0
2016-02-23,28.0
2016-02-24,38.0
2016-02-25,46.0
2016-02-26,27.0
2016-02-27,28.0
2016-02-28,45.0
2016-02-29,42.0
2016-03-01,30.0
2016-03-02,34.0
2016-03-03,23.0
2016-03-04,28.0
2016-03-05,26.0
2016-03-06,34.0
2016-03-07,42.0
2016-03-08,46.0
2016-03-09,65.0
2016-03-10,61.0
2016-03-11,45.0
2016-03-12,44.0
2016-03-13,51.0
2016-03-14,44.0
2016-03-15,49.0
2016-03-16,54.0
2016-03-17,50.0
2016-03-18,42.0
2016-03-19,33.0
2016-03-20,32.0
2016-03-21,39.0
2016-03-22,40.0
2016-03-23,45.0
2016-03-24,46.0
2016-03-25,48.0
2016-03-26,43.0
2016-03-27,49.0
2016-03-28,46.0
2016-03-29,40.0
2016-03-30,44.0
2016-03-31,60.0
2016-04-01,56.0
2016-04-02,45.0
2016-04-03,31.0
2016-04-04,22.0
2016-04-05,25.0
2016-04-06,31.0
2016-04-07,52.0
2016-04-08,39.0
2016-04-09,37.0
2016-04-10,35.0
2016-04-11,46.0
2016-04-12,44.0
2016-04-13,42.0
2016-04-14,45.0
2016-04-15,48.0
2016-04-16,51.0
2016-04-17,56.0
2016-04-18,59.0
2016-04-19,55.0
2016-04-20,52.0
2016-04-21,54.0
2016-04-22,67.0
2016-04-23,53.0
2016-04-24,47.0
2016-04-25,52.0
2016-04-26,43.0
2016-04-27,46.0
2016-04-28,47.0
2016-04-29,48.0
2016-04-30,55.0
2016-05-01,49.0
2016-05-02,49.0
2016-05-03,51.0
2016-05-04,50.0
2016-05-05,53.0
2016-05-06,57.0
2016-05-07,55.0
2016-05-08,52.0
2016-05-09,50.0
2016-05-10,52.0
2016-05-11,58.0
2016-05-12,62.0
2016-05-13,58.0
2016-05-14,60.0
2016-05-15,46.0
2016-05-16,49.0
2016-05-17,53.0
2016-05-18,54.0
2016-05-19,60.0
2016-05-20,59.0
2016-05-21,57.0
2016-05-22,65.0
2016-05-23,66.0
2016-05-24,60.0
2016-05-25,70.0
2016-05-26,73.0
2016-05-27,79.0
