DATE,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyAverageDryBulbTemperature,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,Year,Month,Day
2015-01-01 23:59:00,190.0,26.0,0.0,0.0,0.0,190.0,20.0,25.0,32.0,18.0,2015,1,1
2015-01-02 23:59:00,250.0,30.0,0.0,0.0,0.0,310.0,23.0,32.0,37.0,26.0,2015,1,2
2015-01-03 23:59:00,170.0,21.0,0.57,0.0,1.6,160.0,15.0,27.0,33.0,20.0,2015,1,3
2015-01-04 23:59:00,290.0,33.0,0.22,1.0,0.0,290.0,24.0,39.0,45.0,33.0,2015,1,4
2015-01-05 23:59:00,280.0,42.0,0.0,0.0,0.0,290.0,32.0,27.0,41.0,13.0,2015,1,5
2015-01-06 23:59:00,300.0,17.0,0.05,0.0,0.5,200.0,13.0,13.0,18.0,8.0,2015,1,6
2015-01-07 23:59:00,300.0,47.0,0.0,0.0,0.0,310.0,33.0,9.0,21.0,-3.0,2015,1,7
2015-01-08 23:59:00,180.0,27.0,0.0,0.0,0.0,170.0,21.0,7.0,20.0,-6.0,2015,1,8
2015-01-09 23:59:00,170.0,33.0,0.05,1.0,1.5,300.0,26.0,20.0,28.0,11.0,2015,1,9
2015-01-10 23:59:00,290.0,27.0,0.0,1.0,0.0,280.0,21.0,12.0,20.0,3.0,2015,1,10
2015-01-11 23:59:00,180.0,19.0,0.0,1.0,0.0,180.0,16.0,18.0,31.0,5.0,2015,1,11
2015-01-12 23:59:00,300.0,23.0,0.2,2.0,2.6,300.0,18.0,32.0,35.0,28.0,2015,1,12
2015-01-13 23:59:00,10.0,26.0,0.0,3.0,0.0,10.0,21.0,15.0,31.0,-2.0,2015,1,13
2015-01-14 23:59:00,100.0,9.0,0.0,3.0,0.0,90.0,8.0,5.0,19.0,-10.0,2015,1,14
2015-01-15 23:59:00,170.0,14.0,0.0,3.0,0.0,170.0,10.0,15.0,26.0,4.0,2015,1,15
2015-01-16 23:59:00,290.0,41.0,0.0,3.0,0.1,300.0,31.0,21.0,34.0,7.0,2015,1,16
2015-01-17 23:59:00,170.0,36.0,0.0,2.0,0.0,170.0,26.0,11.0,24.0,-2.0,2015,1,17
2015-01-18 23:59:00,160.0,30.0,0.59,1.0,0.0,170.0,21.0,32.0,40.0,24.0,2015,1,18
2015-01-19 23:59:00,260.0,38.0,0.0,0.0,0.0,280.0,29.0,34.0,38.0,29.0,2015,1,19
2015-01-20 23:59:00,290.0,26.0,0.0,0.0,0.0,280.0,21.0,24.0,31.0,17.0,2015,1,20
2015-01-21 23:59:00,290.0,11.0,0.0,0.0,0.0,290.0,8.0,16.0,24.0,8.0,2015,1,21
2015-01-22 23:59:00,290.0,25.0,0.0,0.0,0.0,280.0,20.0,25.0,32.0,17.0,2015,1,22
2015-01-23 23:59:00,270.0,19.0,0.0,0.0,0.0,290.0,15.0,25.0,34.0,15.0,2015,1,23
2015-01-24 23:59:00,290.0,34.0,0.06,0.0,0.8,290.0,28.0,28.0,34.0,22.0,2015,1,24
